+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                                                                                                                                                     ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; u0|rst_controller_001                                                                                                                                                                                                                                                                                                                                         ; 33    ; 30             ; 0            ; 30             ; 2      ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|rst_controller|alt_rst_req_sync_uq1                                                                                                                                                                                                                                                                                                                        ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|rst_controller|alt_rst_sync_uq1                                                                                                                                                                                                                                                                                                                            ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|rst_controller                                                                                                                                                                                                                                                                                                                                             ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|avalon_st_adapter_001|timing_adapter_0                                                                                                                                                                                                                                                                                                                     ; 40    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|avalon_st_adapter_001|data_format_adapter_0                                                                                                                                                                                                                                                                                                                ; 138   ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|avalon_st_adapter_001                                                                                                                                                                                                                                                                                                                                      ; 138   ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|avalon_st_adapter|timing_adapter_0|ECE423_QSYS_avalon_st_adapter_timing_adapter_0_fifo                                                                                                                                                                                                                                                                     ; 40    ; 0              ; 0            ; 0              ; 41     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|avalon_st_adapter|timing_adapter_0                                                                                                                                                                                                                                                                                                                         ; 40    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|avalon_st_adapter                                                                                                                                                                                                                                                                                                                                          ; 40    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|irq_mapper_001                                                                                                                                                                                                                                                                                                                                             ; 6     ; 28             ; 2            ; 28             ; 32     ; 28              ; 28            ; 28              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|irq_mapper                                                                                                                                                                                                                                                                                                                                                 ; 11    ; 23             ; 2            ; 23             ; 32     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|avalon_st_adapter|error_adapter_0                                                                                                                                                                                                                                                                                                        ; 134   ; 1              ; 2            ; 1              ; 133    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|avalon_st_adapter                                                                                                                                                                                                                                                                                                                        ; 134   ; 0              ; 0            ; 0              ; 133    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_009|core                                                                                                                                                                                                                                                                                                                    ; 231   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_009                                                                                                                                                                                                                                                                                                                         ; 233   ; 2              ; 0            ; 2              ; 229    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_008|core                                                                                                                                                                                                                                                                                                                    ; 231   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_008                                                                                                                                                                                                                                                                                                                         ; 233   ; 2              ; 0            ; 2              ; 229    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_007|core                                                                                                                                                                                                                                                                                                                    ; 231   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_007                                                                                                                                                                                                                                                                                                                         ; 233   ; 2              ; 0            ; 2              ; 229    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_006|core                                                                                                                                                                                                                                                                                                                    ; 231   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_006                                                                                                                                                                                                                                                                                                                         ; 233   ; 2              ; 0            ; 2              ; 229    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_005|core                                                                                                                                                                                                                                                                                                                    ; 231   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_005                                                                                                                                                                                                                                                                                                                         ; 233   ; 2              ; 0            ; 2              ; 229    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_004|core                                                                                                                                                                                                                                                                                                                    ; 231   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_004                                                                                                                                                                                                                                                                                                                         ; 233   ; 2              ; 0            ; 2              ; 229    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_003|core                                                                                                                                                                                                                                                                                                                    ; 231   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_003                                                                                                                                                                                                                                                                                                                         ; 233   ; 2              ; 0            ; 2              ; 229    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_002|core                                                                                                                                                                                                                                                                                                                    ; 231   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_002                                                                                                                                                                                                                                                                                                                         ; 233   ; 2              ; 0            ; 2              ; 229    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_001|core                                                                                                                                                                                                                                                                                                                    ; 231   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline_001                                                                                                                                                                                                                                                                                                                         ; 233   ; 2              ; 0            ; 2              ; 229    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline|core                                                                                                                                                                                                                                                                                                                        ; 231   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|mux_pipeline                                                                                                                                                                                                                                                                                                                             ; 233   ; 2              ; 0            ; 2              ; 229    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|agent_pipeline_001|core                                                                                                                                                                                                                                                                                                                  ; 226   ; 0              ; 0            ; 0              ; 224    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|agent_pipeline_001                                                                                                                                                                                                                                                                                                                       ; 229   ; 3              ; 0            ; 3              ; 224    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|agent_pipeline|core                                                                                                                                                                                                                                                                                                                      ; 231   ; 0              ; 0            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|agent_pipeline                                                                                                                                                                                                                                                                                                                           ; 233   ; 2              ; 0            ; 2              ; 229    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|write_dma_mm_write_cmd_width_adapter                                                                                                                                                                                                                                                                                                     ; 1242  ; 3              ; 0            ; 3              ; 229    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|read_dma_cr_mm_read_cmd_width_adapter                                                                                                                                                                                                                                                                                                    ; 1242  ; 3              ; 0            ; 3              ; 229    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|read_dma_cb_mm_read_cmd_width_adapter                                                                                                                                                                                                                                                                                                    ; 1242  ; 3              ; 0            ; 3              ; 229    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|read_dma_y_mm_read_cmd_width_adapter                                                                                                                                                                                                                                                                                                     ; 1242  ; 3              ; 0            ; 3              ; 229    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|write_dma_mm_write_rsp_width_adapter|uncompressor                                                                                                                                                                                                                                                                                        ; 52    ; 4              ; 0            ; 4              ; 45     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|write_dma_mm_write_rsp_width_adapter                                                                                                                                                                                                                                                                                                     ; 234   ; 3              ; 0            ; 3              ; 1237   ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|read_dma_cr_mm_read_rsp_width_adapter|uncompressor                                                                                                                                                                                                                                                                                       ; 52    ; 4              ; 0            ; 4              ; 45     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|read_dma_cr_mm_read_rsp_width_adapter                                                                                                                                                                                                                                                                                                    ; 234   ; 3              ; 0            ; 3              ; 1237   ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|read_dma_cb_mm_read_rsp_width_adapter|uncompressor                                                                                                                                                                                                                                                                                       ; 52    ; 4              ; 0            ; 4              ; 45     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|read_dma_cb_mm_read_rsp_width_adapter                                                                                                                                                                                                                                                                                                    ; 234   ; 3              ; 0            ; 3              ; 1237   ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|read_dma_y_mm_read_rsp_width_adapter|uncompressor                                                                                                                                                                                                                                                                                        ; 52    ; 4              ; 0            ; 4              ; 45     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|read_dma_y_mm_read_rsp_width_adapter                                                                                                                                                                                                                                                                                                     ; 234   ; 3              ; 0            ; 3              ; 1237   ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|rsp_mux_004                                                                                                                                                                                                                                                                                                                              ; 231   ; 0              ; 2            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|rsp_mux_003                                                                                                                                                                                                                                                                                                                              ; 231   ; 0              ; 2            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|rsp_mux_002                                                                                                                                                                                                                                                                                                                              ; 231   ; 0              ; 2            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|rsp_mux_001                                                                                                                                                                                                                                                                                                                              ; 231   ; 0              ; 2            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|rsp_mux                                                                                                                                                                                                                                                                                                                                  ; 231   ; 0              ; 2            ; 0              ; 229    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|rsp_demux                                                                                                                                                                                                                                                                                                                                ; 235   ; 25             ; 2            ; 25             ; 1141   ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|cmd_mux|arb|adder                                                                                                                                                                                                                                                                                                                        ; 20    ; 5              ; 0            ; 5              ; 10     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|cmd_mux|arb                                                                                                                                                                                                                                                                                                                              ; 9     ; 0              ; 1            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|cmd_mux                                                                                                                                                                                                                                                                                                                                  ; 1143  ; 0              ; 0            ; 0              ; 233    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|cmd_demux_004                                                                                                                                                                                                                                                                                                                            ; 231   ; 1              ; 2            ; 1              ; 229    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|cmd_demux_003                                                                                                                                                                                                                                                                                                                            ; 231   ; 1              ; 2            ; 1              ; 229    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|cmd_demux_002                                                                                                                                                                                                                                                                                                                            ; 231   ; 1              ; 2            ; 1              ; 229    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|cmd_demux_001                                                                                                                                                                                                                                                                                                                            ; 231   ; 1              ; 2            ; 1              ; 229    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u0|mm_interconnect_3|cmd_demux                                                                                                                                                                                                                                                                                                                                ; 231   ; 1              ; 2            ; 1              ; 229    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
